Infektiöse Darmkrankheiten	A00-A09
Tuberkulose	A15-A19
Bestimmte bakterielle Zoonosen	A20-A28
Sonstige bakterielle Krankheiten	A30-A49
Infektionen, die vorwiegend durch Geschlechtsverkehr übertragen werden	A50-A64
Sonstige Spirochätenkrankheiten	A65-A69
Sonstige Krankheiten durch Chlamydien	A70-A74
Rickettsiosen	A75-A79
Virusinfektionen des Zentralnervensystems	A80-A89
Durch Arthropoden übertragene Viruskrankheiten und virale hämorrhagische Fieber	A92-A99
Virusinfektionen, die durch Haut- und Schleimhautläsionen gekennzeichnet sind	B00-B09
Virushepatitis	B15-B19
HIV-Krankheit [Humane Immundefizienz-Viruskrankheit]	B20-B24
Sonstige Viruskrankheiten	B25-B34
Mykosen	B35-B49
Protozoenkrankheiten	B50-B64
Helminthosen	B65-B83
Pedikulose [Läusebefall], Akarinose [Milbenbefall] und sonstiger Parasitenbefall der Haut	B85-B89
Bakterien, Viren und sonstige Infektionserreger als Ursache von Krankheiten, die in anderen Kapiteln klassifiziert sind	B95-B98
Sonstige Infektionskrankheiten	B99-B99
Bösartige Neubildungen der Lippe, der Mundhöhle und des Pharynx	C00-C14
Bösartige Neubildungen an genau bezeichneten Lokalisationen, als primär festgestellt oder vermutet, ausgenommen lymphatisches, blutbildendes und verwandtes Gewebe	C00-C75
Bösartige Neubildungen	C00-C97
Bösartige Neubildungen der Verdauungsorgane	C15-C26
Bösartige Neubildungen der Atmungsorgane und sonstiger intrathorakaler Organe	C30-C39
Bösartige Neubildungen des Knochens und des Gelenkknorpels	C40-C41
Melanom und sonstige bösartige Neubildungen der Haut	C43-C44
Bösartige Neubildungen des mesothelialen Gewebes und des Weichteilgewebes	C45-C49
Bösartige Neubildungen der Brustdrüse [Mamma]	C50-C50
Bösartige Neubildungen der weiblichen Genitalorgane	C51-C58
Bösartige Neubildungen der männlichen Genitalorgane	C60-C63
Bösartige Neubildungen der Harnorgane	C64-C68
Bösartige Neubildungen des Auges, des Gehirns und sonstiger Teile des Zentralnervensystems	C69-C72
Bösartige Neubildungen der Schilddrüse und sonstiger endokriner Drüsen	C73-C75
Bösartige Neubildungen ungenau bezeichneter, sekundärer und nicht näher bezeichneter Lokalisationen	C76-C80
Bösartige Neubildungen des lymphatischen, blutbildenden und verwandten Gewebes, als primär festgestellt oder vermutet	C81-C96
In-situ-Neubildungen	D00-D09
Gutartige Neubildungen	D10-D36
Neubildungen unsicheren oder unbekannten Verhaltens	D37-D48
Hämolytische Anämien	D55-D59
Aplastische und sonstige Anämien	D60-D64
Koagulopathien, Purpura und sonstige hämorrhagische Diathesen	D65-D69
Sonstige Krankheiten des Blutes und der blutbildenden Organe	D70-D77
Bestimmte Störungen mit Beteiligung des Immunsystems	D80-D90
Krankheiten der Schilddrüse	E00-E07
Diabetes mellitus	E10-E14
Sonstige Störungen der Blutglukose-Regulation und der inneren Sekretion des Pankreas	E15-E16
Krankheiten sonstiger endokriner Drüsen	E20-E35
Mangelernährung	E40-E46
Sonstige alimentäre Mangelzustände	E50-E64
Adipositas und sonstige Überernährung	E65-E68
Stoffwechselstörungen	E70-E90
Organische, einschließlich symptomatischer psychischer Störungen	F00-F09
Psychische und Verhaltensstörungen durch psychotrope Substanzen	F10-F19
Schizophrenie, schizotype und wahnhafte Störungen	F20-F29
Affektive Störungen	F30-F39
