Infectious bowel diseases	A00-A09
tuberculosis	A15-A19
Certain bacterial zoonoses	A20-A28
Other bacterial diseases	A30-A49
Infections that are transmitted primarily through sexual intercourse	A50-A64
Other spirochete diseases	A65-A69
Other diseases due to chlamydia	A70-A74
Rickettsiosen	A75-A79
Viral infections of the central nervous system	A80-A89
Arthropod - borne viral diseases and viral haemorrhagic fevers	A92-A99
Viral infections characterized by cutaneous and mucosal lesions	B00-B09
Virushepatitis	B15-B19
HIV Disease [ Human Immunodeficiency Virus Disease ]	B20-B24
Other viral diseases	B25-B34
Mykosen	B35-B49
Protozoenkrankheiten	B50-B64
Helminthosen	B65-B83
Pediculosis [ lice infestation ] , akarinosis [ mite infestation ] and other parasitic infestations of the skin	B85-B89
Bacteria , viruses and other infectious agents as the cause of diseases classified in other chapters	B95-B98
Other infectious diseases	B99-B99
Malignant neoplasms of the lip , oral cavity and pharynx	C00-C14
Malignant neoplasms at specified localities , identified as primary or suspected except lymphatic , blood - forming and related tissues	C00-C75
Malignant neoplasms	C00-C97
Malignant neoplasms of the digestive organs	C15-C26
Malignant neoplasms of the respiratory organs and other intrathoracic organs	C30-C39
Malignant neoplasms of bone and articular cartilage	C40-C41
Melanoma and other malignant neoplasms of the skin	C43-C44
Malignant neoplasms of mesothelial tissue and soft tissue	C45-C49
Malignant neoplasms of the mammary gland [ Mamma ]	C50-C50
Malignant neoplasms of the female genital organs	C51-C58
Malignant neoplasms of the male genital organs	C60-C63
Malignant neoplasms of the urinary organs	C64-C68
Malignant neoplasms of the eye , brain , and other parts of the central nervous system	C69-C72
Malignant neoplasms of the thyroid gland and other endocrine glands	C73-C75
Malignant neoplasms of inaccurately designated , secondary and unspecified locations	C76-C80
Malignant neoplasms of lymphoid , hematopoietic and related tissue , considered primary or suspected	C81-C96
In situ neoplasms	D00-D09
Benign neoplasms	D10-D36
New growths of uncertain or unknown behavior	D37-D48
Hemolytic anemias	D55-D59
Aplastic and other anemia	D60-D64
Coagulopathies , purpura and other hemorrhagic diatheses	D65-D69
Other diseases of the blood and the blood - forming organs	D70-D77
Certain disorders involving the immune system	D80-D90
Diseases of the thyroid gland	E00-E07
Diabetes mellitus	E10-E14
Other disorders of blood glucose regulation and internal secretion of the pancreas	E15-E16
Diseases of other endocrine glands	E20-E35
malnutrition	E40-E46
Other alimentary deficiencies	E50-E64
